id,ast,blk,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,min,oreb,pf,pts,reb,stl,turnover,game.id,game.date,game.home_team_id,game.home_team_score,game.period,game.postseason,game.season,game.status,game.time,game.visitor_team_id,game.visitor_team_score,player.id,player.first_name,player.height_feet,player.height_inches,player.last_name,player.position,player.team_id,player.weight_pounds,team.id,team.abbreviation,team.city,team.conference,team.division,team.full_name,team.name
171901,2.0,0.0,2.0,0.333,3.0,1.0,0.333,9.0,3.0,0.5,2.0,1.0,23:12,0.0,3.0,8.0,2.0,2.0,2.0,9405,1997-01-06T00:00:00.000Z,25,88,4,False,1996,Final, ,14,84,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
172364,2.0,1.0,0.0,0.0,2.0,0.0,0.308,13.0,4.0,0.5,2.0,1.0,21:32,1.0,2.0,9.0,1.0,2.0,2.0,9115,1997-01-08T00:00:00.000Z,14,101,4,False,1996,Final, ,4,97,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
172559,0.0,0.0,2.0,0.0,1.0,0.0,0.333,3.0,1.0,0.0,0.0,0.0,7:46,1.0,0.0,2.0,3.0,0.0,2.0,9116,1997-01-10T00:00:00.000Z,14,94,4,False,1996,Final, ,16,85,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
173552,,,,,,,,,,,,,,,,,,,,9274,1997-01-16T00:00:00.000Z,14,98,4,False,1996,Final, ,25,102,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
173929,5.0,0.0,2.0,0.6,5.0,3.0,0.615,13.0,8.0,1.0,2.0,2.0,32:20,0.0,1.0,21.0,2.0,1.0,4.0,8308,1997-01-18T00:00:00.000Z,14,97,4,False,1996,Final, ,9,100,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
174251,1.0,0.0,1.0,0.0,0.0,0.0,0.429,7.0,3.0,0.0,0.0,0.0,13:24,1.0,2.0,6.0,2.0,1.0,5.0,9125,1997-01-20T00:00:00.000Z,14,109,4,False,1996,Final, ,7,99,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
174929,4.0,0.0,3.0,0.25,4.0,1.0,0.5,8.0,4.0,1.0,8.0,8.0,24:54,3.0,2.0,17.0,6.0,1.0,3.0,1245,1997-01-24T00:00:00.000Z,14,114,4,False,1996,Final, ,10,97,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
175217,1.0,0.0,0.0,1.0,1.0,1.0,0.5,6.0,3.0,0.0,0.0,0.0,17:02,1.0,0.0,7.0,1.0,1.0,3.0,9285,1997-01-26T00:00:00.000Z,21,103,4,False,1996,Final, ,14,104,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
175528,2.0,1.0,2.0,0.0,3.0,0.0,0.455,11.0,5.0,0.667,3.0,2.0,31:45,1.0,1.0,12.0,3.0,2.0,3.0,1551,1997-01-28T00:00:00.000Z,7,83,4,False,1996,Final, ,14,102,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
175683,0.0,2.0,3.0,0.429,7.0,3.0,0.5,12.0,6.0,1.0,4.0,4.0,29:51,1.0,2.0,19.0,4.0,2.0,3.0,1821,1997-01-29T00:00:00.000Z,27,92,4,False,1996,Final, ,14,99,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
176466,3.0,0.0,3.0,0.0,1.0,0.0,0.222,9.0,2.0,1.0,9.0,9.0,24:00,0.0,0.0,13.0,3.0,0.0,1.0,9293,1997-02-02T00:00:00.000Z,14,129,4,False,1996,Final, ,30,99,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
176754,0.0,0.0,2.0,0.0,2.0,0.0,0.2,10.0,2.0,1.0,2.0,2.0,22:32,1.0,2.0,6.0,3.0,2.0,2.0,1826,1997-02-04T00:00:00.000Z,13,108,4,False,1996,Final, ,14,86,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
176911,0.0,1.0,2.0,0.5,2.0,1.0,0.286,7.0,2.0,0.0,0.0,0.0,12:40,1.0,0.0,5.0,3.0,0.0,0.0,9295,1997-02-05T00:00:00.000Z,14,106,4,False,1996,Final, ,5,90,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
